word_id,index_id,special_token
1,0,1
2,1,1
3,2,1
4,3,1
21,5,0
46,7,0
120,8,0
27,10,0
121,11,0
50,12,0
71,13,0
34,14,0
72,15,0
51,16,0
122,18,0
73,19,0
74,21,0
123,22,0
16,23,0
100,24,0
124,25,0
125,27,0
126,28,0
47,29,0
127,30,0
101,32,0
128,33,0
129,34,0
130,35,0
131,37,0
132,38,0
133,40,0
134,41,0
15,42,0
23,43,0
75,44,0
35,45,0
76,46,0
40,47,0
28,48,0
36,49,0
41,50,0
77,51,0
135,52,0
136,55,0
78,56,0
138,58,0
79,59,0
24,60,0
139,61,0
29,62,0
140,63,0
141,64,0
42,66,0
142,67,0
143,68,0
19,69,0
144,70,0
80,71,0
81,72,0
82,73,0
146,75,0
37,76,0
147,77,0
103,78,0
20,79,0
148,80,0
52,81,0
53,82,0
149,83,0
83,85,0
150,86,0
84,87,0
151,88,0
152,89,0
153,90,0
85,92,0
155,93,0
54,94,0
86,96,0
157,97,0
87,98,0
158,99,0
159,100,0
160,101,0
88,102,0
64,103,0
104,104,0
161,105,0
162,106,0
105,107,0
163,108,0
38,109,0
43,110,0
30,111,0
164,112,0
166,114,0
167,115,0
168,116,0
169,117,0
170,118,0
171,119,0
6,120,0
55,121,0
172,122,0
173,123,0
174,124,0
175,125,0
176,126,0
89,127,0
26,128,0
31,129,0
56,130,0
57,131,0
177,132,0
65,133,0
178,134,0
179,135,0
180,136,0
181,137,0
182,138,0
183,139,0
184,140,0
48,141,0
58,142,0
44,143,0
22,144,0
39,145,0
185,147,0
108,149,0
59,150,0
32,151,0
109,152,0
60,153,0
186,155,0
61,156,0
33,157,0
45,159,0
187,160,0
66,161,0
90,162,0
111,163,0
188,164,0
189,165,0
190,166,0
191,167,0
192,168,0
193,169,0
91,170,0
194,172,0
195,173,0
196,175,0
92,176,0
113,177,0
197,178,0
198,179,0
216,180,0
199,181,0
93,182,0
200,183,0
114,184,0
217,185,0
218,186,0
219,187,0
94,188,0
220,189,0
221,190,0
222,191,0
223,192,0
224,193,0
225,194,0
226,195,0
95,196,0
67,197,0
201,198,0
202,199,0
227,200,0
203,201,0
228,202,0
62,203,0
229,204,0
230,205,0
96,206,0
231,207,0
204,208,0
232,209,0
233,210,0
234,211,0
205,212,0
206,213,0
97,214,0
235,215,0
236,216,0
237,217,0
238,218,0
239,219,0
207,221,0
208,222,0
241,223,0
115,224,0
68,225,0
209,226,0
210,227,0
69,228,0
242,229,0
243,230,0
244,231,0
245,232,0
246,233,0
247,234,0
248,235,0
249,236,0
250,237,0
251,238,0
252,239,0
211,240,0
253,241,0
98,242,0
212,243,0
254,244,0
255,245,0
256,246,0
257,247,0
258,248,0
116,249,0
117,250,0
259,251,0
260,252,0
261,253,0
118,254,0
262,255,0
263,256,0
264,257,0
265,258,0
266,259,0
119,260,0
70,261,0
267,262,0
268,263,0
269,264,0
270,265,0
271,266,0
272,267,0
273,268,0
275,270,0
276,271,0
277,272,0
278,273,0
279,274,0
280,275,0
281,276,0
282,277,0
283,278,0
284,279,0
285,280,0
286,281,0
287,282,0
99,283,0
288,284,0
213,285,0
214,286,0
215,287,0
289,288,0
290,289,0
291,290,0
292,291,0
293,292,0
294,293,0
295,294,0
296,295,0
297,296,0
298,297,0
299,298,0
300,299,0
301,300,0
